SUN-OFDM 863-870MHz O4 MCS5,0.931,-107.95
SUN-OFDM 863-870MHz O4 MCS4,1.000,-108.75
SUN-OFDM 863-870MHz O4 MCS5,0.750,-109.12
SUN-OFDM 863-870MHz O4 MCS4,0.956,-109.30
SUN-OFDM 863-870MHz O4 MCS5,0.581,-109.76
SUN-OFDM 863-870MHz O4 MCS2,1.000,-111.09
SUN-OFDM 863-870MHz O4 MCS3,0.988,-110.34
SUN-OFDM 863-870MHz O4 MCS4,0.881,-110.32
SUN-OFDM 863-870MHz O4 MCS5,0.156,-110.44
SUN-OFDM 863-870MHz O4 MCS2,1.000,-112.04
SUN-OFDM 863-870MHz O4 MCS3,0.963,-111.27
SUN-OFDM 863-870MHz O4 MCS4,0.812,-111.15
SUN-OFDM 863-870MHz O4 MCS5,0.013,-111.00
SUN-OFDM 863-870MHz O4 MCS2,1.000,-113.16
SUN-OFDM 863-870MHz O4 MCS3,0.900,-112.51
SUN-OFDM 863-870MHz O4 MCS4,0.350,-112.64
SUN-OFDM 863-870MHz O4 MCS5,0.000,0.00
SUN-OFDM 863-870MHz O4 MCS2,0.969,-114.06
SUN-OFDM 863-870MHz O4 MCS3,0.750,-113.44
SUN-OFDM 863-870MHz O4 MCS4,0.081,-113.62
SUN-OFDM 863-870MHz O4 MCS5,0.000,0.00
SUN-OFDM 863-870MHz O4 MCS2,0.781,-115.22
SUN-OFDM 863-870MHz O4 MCS3,0.362,-114.55
SUN-OFDM 863-870MHz O4 MCS4,0.000,0.00
SUN-OFDM 863-870MHz O4 MCS5,0.000,0.00
SUN-OFDM 863-870MHz O4 MCS2,0.594,-115.62
SUN-OFDM 863-870MHz O4 MCS3,0.113,-115.11
SUN-OFDM 863-870MHz O4 MCS4,0.000,0.00
SUN-OFDM 863-870MHz O4 MCS5,0.000,0.00
