SUN-OFDM 863-870MHz O4 MCS4,1.000,-104.92
SUN-OFDM 863-870MHz O4 MCS4,1.000,-105.77
SUN-OFDM 863-870MHz O4 MCS4,0.995,-106.86
SUN-OFDM 863-870MHz O4 MCS2,1.000,-108.00
SUN-OFDM 863-870MHz O4 MCS3,1.000,-107.70
SUN-OFDM 863-870MHz O4 MCS4,0.995,-107.71
SUN-OFDM 863-870MHz O4 MCS2,1.000,-109.11
SUN-OFDM 863-870MHz O4 MCS3,1.000,-108.89
SUN-OFDM 863-870MHz O4 MCS4,0.980,-108.69
SUN-OFDM 863-870MHz O4 MCS2,1.000,-109.66
SUN-OFDM 863-870MHz O4 MCS3,1.000,-109.52
SUN-OFDM 863-870MHz O4 MCS4,0.965,-109.37
SUN-OFDM 863-870MHz O4 MCS2,0.995,-110.66
SUN-OFDM 863-870MHz O4 MCS3,0.985,-110.58
SUN-OFDM 863-870MHz O4 MCS4,0.865,-110.48
SUN-OFDM 863-870MHz O4 MCS2,0.990,-111.52
SUN-OFDM 863-870MHz O4 MCS3,0.970,-110.99
SUN-OFDM 863-870MHz O4 MCS4,0.755,-111.26
SUN-OFDM 863-870MHz O4 MCS2,0.995,-112.63
SUN-OFDM 863-870MHz O4 MCS3,0.920,-112.36
SUN-OFDM 863-870MHz O4 MCS4,0.300,-112.32
SUN-OFDM 863-870MHz O4 MCS2,0.870,-113.84
SUN-OFDM 863-870MHz O4 MCS3,0.585,-113.61
SUN-OFDM 863-870MHz O4 MCS4,0.035,-114.14
SUN-OFDM 863-870MHz O4 MCS2,0.695,-115.13
SUN-OFDM 863-870MHz O4 MCS3,0.115,-114.48
SUN-OFDM 863-870MHz O4 MCS4,0.000,0.00
SUN-OFDM 863-870MHz O4 MCS2,0.550,-115.44
SUN-OFDM 863-870MHz O4 MCS3,0.020,-115.50
SUN-OFDM 863-870MHz O4 MCS4,0.000,0.00
SUN-OFDM 863-870MHz O4 MCS2,0.140,-116.43
